Rusyn,Русиньскый,rue
Assamese,অসমীয়া,as
Northern Sami,Sámegiella,se
Bhojpuri,भोजपुरी,bh
West Flemish,West-Vlams,vls
Maori,Māori,mi
Dutch Low Saxon,Nedersaksisch,nds-nl
Zulu,isiZulu,zu
Nahuatl,Nāhuatl,nah
Sardinian,Sardu,sc
Hausa,Hausa / هَوُسَ,ha
Vepsian,Vepsän,vep
Shona,chiShona,sn
Gan,贛語,gan
Erzya,Эрзянь (Erzjanj Kelj),myv
Abkhazian,Аҧсуа,ab
Gilaki,گیلکی,glk
Balinese,Bali,ban
Kabyle,Taqbaylit,kab
Tibetan,བོད་སྐད,bo
Somali,Soomaali,so
Corsican,Corsu,co
Turkmen,Türkmen,tk
Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat
Ligurian,Líguru,lij
Võro,Võro,fiu-vro
Interlingue,Interlingue,ie
Komi,Коми,kv
Kashubian,Kaszëbsczi,csb
Picard,Picard,pcd
Manx,Gaelg,gv
Udmurt,Удмурт кыл,udm
Uyghur,ئۇيغۇر تىلى,ug
Aymara,Aymar,ay
Zeelandic,Zeêuws,zea
Norman,Nouormand/Normaund,nrm
Franco-Provençal,Arpitan,frp
Cornish,Kernewek/Karnuack,kw
Lezgian,Лезги чІал (Lezgi č’al),lez
Guarani,Avañe'ẽ,gn
Lingua Franca Nova,Lingua franca nova,lfn
Saterland Frisian,Seeltersk,stq
Mirandese,Mirandés,mwl
Romansh,Rumantsch,rm
Maltese,Malti,mt
Goan Konkani,गोंयची कोंकणी / Gõychi Konknni,gom
Lao,ລາວ,lo
Ladino,Dzhudezmo,lad
Livvi-Karelian,Karjalan,olo
Komi-Permyak,Перем Коми (Perem Komi),koi
Friulian,Furlan,fur
Banjar,Bahasa Banjar,bjn
Moroccan Arabic,الدارجة,ary
Saraiki,سرائیکی,skr
Anglo-Saxon,Englisc,ang
Doteli,डोटेली,dty
Lower Sorbian,Dolnoserbski,dsb
Extremaduran,Estremeñu,ext
Lingala,Lingala,ln
Tuvan,Тыва,tyv
Zamboanga Chavacano,Chavacano de Zamboanga,cbk-zam
Divehi,ދިވެހިބަސް,dv
Ripuarian,Ripoarisch,ksh
Gagauz,Gagauz,gag
Palatinate German,Pälzisch,pfl
Pali,पाऴि,pi
Pangasinan,Pangasinan,pag
Avar,Авар,av
Awadhi,अवधी,awa
Hawaiian,Hawai`i,haw
Inari Sami,Anarâškielâ,smn
Buryat,Буряад,bxr
Kalmyk,Хальмг,xal
Igbo,Igbo,ig
Karachay-Balkar,Къарачай-Малкъар (Qarachay-Malqar),krc
Papiamentu,Papiamentu,pap
Kinyarwanda,Ikinyarwanda,rw
Zhuang,Cuengh,za
Pennsylvania German,Deitsch,pdc
Karakalpak,Qaraqalpaqsha,kaa
Sakizaya,Sakizaya,szy
Aramaic,ܐܪܡܝܐ,arc
Tongan,faka Tonga,to
Novial,Novial,nov
Kabiye,Kabɩyɛ,kbp
Jamaican Patois,Jumiekan Kryuol,jam
Ingush,Гӏалгӏай,inh
Tok Pisin,Tok Pisin,tpi
Wolof,Wolof,wo
Kabardian Circassian,Адыгэбзэ (Adighabze),kbd
Nauruan,dorerin Naoero,na
Tetum,Tetun,tet
Atikamekw,Atikamekw,atj
Kikuyu,Gĩkũyũ,ki
Tulu,ತುಳು,tcy
Akan,Akana,ak
Ladin,Lingaz,lld
Lojban,Lojban,jbo
Bislama,Bislama,bi
Aromanian,Armãneashce,roa-rup
Lak,Лакку,lbe
Luganda,Luganda,lg
Kongo,KiKongo,kg
Tahitian,Reo Mā`ohi,ty
Moksha,Мокшень (Mokshanj Kälj),mdf
Xhosa,isiXhosa,xh
Fijian,Na Vosa Vakaviti,fj
Sranan,Sranantongo,srn
Oromo,Oromoo,om
Guianan Creole,Kriyòl Gwiyannen,gcr
Latgalian,Latgaļu,ltg
Samoan,Gagana Samoa,sm
Cherokee,ᏣᎳᎩ,chr
N’Ko,ߒߞߏ,nqo
Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got
Mon,မန်,mnw
Greenlandic,Kalaallisut,kl
Norfolk,Norfuk,pih
Sesotho,Sesotho,st
Li Niha,Nias,nia
Chichewa,Chichewa,ny
Old Church Slavonic,Словѣньскъ,cu
Twi,Twi,tw
Tswana,Setswana,tn
Tsonga,Xitsonga,ts
Bambara,Bamanankan,bm
Romani,romani - रोमानी,rmy
Madurese,Madhurâ,mad
Cheyenne,Tsetsêhestâhese,chy
Kirundi,Kirundi,rn
Tumbuka,chiTumbuka,tum
Swati,SiSwati,ss
Chamorro,Chamoru,ch
Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu
Kashmiri,कश्मीरी / كشميري,ks
Pontic,Ποντιακά,pnt
Adyghe,Адыгэбзэ,ady
Venda,Tshivenda,ve
Ewe,Eʋegbe,ee
Inupiak,Iñupiak,ik
Fula,Fulfulde,ff
Sango,Sängö,sg
Dinka,Thuɔŋjäŋ,din
Dzongkha,ཇོང་ཁ,dz
Tigrinya,ትግርኛ,ti
Cree,Nehiyaw,cr
Ndonga,Oshiwambo,ng
Choctaw,Choctaw,cho
Kuanyama,Kuanyama,kj
Marshallese,Ebon,mh
Hiri Motu,Hiri Motu,ho
Sichuan Yi,ꆇꉙ,ii
Afar,Afar,aa
Northern Luri,لۊری شومالی,lrc
Muscogee,Muskogee,mus
Herero,Otsiherero,hz
Kanuri,Kanuri,kr
